,Cell,Cell_type
324,human1_lib1.final_cell_0325,quiescent_stellate
325,human1_lib1.final_cell_0326,alpha
326,human1_lib1.final_cell_0327,alpha
327,human1_lib1.final_cell_0328,beta
328,human1_lib1.final_cell_0329,beta
329,human1_lib1.final_cell_0330,ductal
330,human1_lib1.final_cell_0331,beta
331,human1_lib1.final_cell_0332,alpha
332,human1_lib1.final_cell_0333,beta
333,human1_lib1.final_cell_0334,alpha
334,human1_lib1.final_cell_0335,beta
335,human1_lib1.final_cell_0336,beta
336,human1_lib1.final_cell_0337,delta
337,human1_lib1.final_cell_0338,delta
338,human1_lib1.final_cell_0339,beta
339,human1_lib1.final_cell_0340,beta
340,human1_lib1.final_cell_0341,beta
341,human1_lib1.final_cell_0342,ductal
342,human1_lib1.final_cell_0343,acinar
343,human1_lib1.final_cell_0344,beta
344,human1_lib1.final_cell_0345,alpha
345,human1_lib1.final_cell_0346,beta
346,human1_lib1.final_cell_0347,beta
347,human1_lib1.final_cell_0348,alpha
348,human1_lib1.final_cell_0349,beta
349,human1_lib1.final_cell_0350,quiescent_stellate
350,human1_lib1.final_cell_0351,beta
351,human1_lib1.final_cell_0352,gamma
352,human1_lib1.final_cell_0353,beta
353,human1_lib1.final_cell_0354,gamma
354,human1_lib1.final_cell_0355,endothelial
355,human1_lib1.final_cell_0356,beta
356,human1_lib1.final_cell_0357,alpha
357,human1_lib1.final_cell_0358,schwann
358,human1_lib1.final_cell_0359,beta
359,human1_lib1.final_cell_0360,quiescent_stellate
360,human1_lib1.final_cell_0361,endothelial
361,human1_lib1.final_cell_0362,gamma
362,human1_lib1.final_cell_0363,beta
363,human1_lib1.final_cell_0364,beta
364,human1_lib1.final_cell_0365,alpha
365,human1_lib1.final_cell_0366,alpha
366,human1_lib1.final_cell_0367,gamma
367,human1_lib1.final_cell_0368,beta
368,human1_lib1.final_cell_0369,beta
369,human1_lib1.final_cell_0370,delta
370,human1_lib1.final_cell_0371,acinar
371,human1_lib1.final_cell_0372,acinar
372,human1_lib1.final_cell_0373,gamma
373,human1_lib1.final_cell_0374,ductal
374,human1_lib1.final_cell_0375,ductal
375,human1_lib1.final_cell_0376,endothelial
376,human1_lib1.final_cell_0377,delta
377,human1_lib1.final_cell_0378,beta
378,human1_lib1.final_cell_0379,beta
379,human1_lib1.final_cell_0380,endothelial
380,human1_lib1.final_cell_0381,alpha
381,human1_lib1.final_cell_0382,acinar
382,human1_lib1.final_cell_0383,endothelial
383,human1_lib1.final_cell_0384,endothelial
384,human1_lib1.final_cell_0385,alpha
385,human1_lib1.final_cell_0386,beta
386,human1_lib1.final_cell_0387,beta
387,human1_lib1.final_cell_0388,gamma
388,human1_lib1.final_cell_0389,beta
389,human1_lib1.final_cell_0390,alpha
390,human1_lib1.final_cell_0391,beta
391,human1_lib1.final_cell_0392,beta
392,human1_lib1.final_cell_0393,beta
393,human1_lib1.final_cell_0394,beta
394,human1_lib1.final_cell_0395,beta
395,human1_lib1.final_cell_0396,delta
396,human1_lib1.final_cell_0397,beta
397,human1_lib1.final_cell_0398,quiescent_stellate
398,human1_lib1.final_cell_0399,activated_stellate
399,human1_lib1.final_cell_0400,beta
400,human1_lib1.final_cell_0401,alpha
401,human1_lib1.final_cell_0402,beta
402,human1_lib1.final_cell_0403,gamma
403,human1_lib1.final_cell_0404,quiescent_stellate
404,human1_lib1.final_cell_0405,beta
405,human1_lib1.final_cell_0406,alpha
406,human1_lib1.final_cell_0407,quiescent_stellate
407,human1_lib1.final_cell_0408,endothelial
408,human1_lib1.final_cell_0409,beta
409,human1_lib1.final_cell_0410,ductal
410,human1_lib1.final_cell_0411,endothelial
411,human1_lib1.final_cell_0412,ductal
412,human1_lib1.final_cell_0413,acinar
413,human1_lib1.final_cell_0414,alpha
414,human1_lib1.final_cell_0415,delta
415,human1_lib1.final_cell_0416,beta
416,human1_lib1.final_cell_0417,macrophage
417,human1_lib1.final_cell_0418,ductal
418,human1_lib1.final_cell_0419,endothelial
419,human1_lib1.final_cell_0420,endothelial
420,human1_lib1.final_cell_0421,gamma
421,human1_lib1.final_cell_0422,endothelial
422,human1_lib1.final_cell_0423,endothelial
423,human1_lib1.final_cell_0424,beta
424,human1_lib1.final_cell_0425,beta
425,human1_lib1.final_cell_0426,gamma
426,human1_lib1.final_cell_0427,beta
427,human1_lib1.final_cell_0428,mast
428,human1_lib1.final_cell_0429,beta
429,human1_lib1.final_cell_0430,endothelial
430,human1_lib1.final_cell_0431,gamma
431,human1_lib1.final_cell_0432,quiescent_stellate
432,human1_lib1.final_cell_0433,alpha
433,human1_lib1.final_cell_0434,beta
434,human1_lib1.final_cell_0435,alpha
435,human1_lib1.final_cell_0436,acinar
436,human1_lib1.final_cell_0437,ductal
437,human1_lib1.final_cell_0438,beta
438,human1_lib1.final_cell_0439,beta
439,human1_lib1.final_cell_0440,ductal
440,human1_lib1.final_cell_0441,beta
441,human1_lib1.final_cell_0442,beta
442,human1_lib1.final_cell_0443,ductal
443,human1_lib1.final_cell_0444,acinar
444,human1_lib1.final_cell_0445,endothelial
445,human1_lib1.final_cell_0446,beta
446,human1_lib1.final_cell_0447,beta
447,human1_lib1.final_cell_0448,beta
448,human1_lib1.final_cell_0449,ductal
449,human1_lib1.final_cell_0450,activated_stellate
450,human1_lib1.final_cell_0451,beta
451,human1_lib1.final_cell_0452,quiescent_stellate
452,human1_lib1.final_cell_0453,acinar
453,human1_lib1.final_cell_0454,gamma
454,human1_lib1.final_cell_0455,quiescent_stellate
455,human1_lib1.final_cell_0456,endothelial
456,human1_lib1.final_cell_0457,endothelial
457,human1_lib1.final_cell_0458,alpha
458,human1_lib1.final_cell_0459,quiescent_stellate
459,human1_lib1.final_cell_0460,beta
460,human1_lib1.final_cell_0461,acinar
461,human1_lib1.final_cell_0462,beta
462,human1_lib1.final_cell_0463,endothelial
463,human1_lib1.final_cell_0464,endothelial
464,human1_lib1.final_cell_0465,beta
465,human1_lib1.final_cell_0466,acinar
466,human1_lib1.final_cell_0467,delta
467,human1_lib1.final_cell_0468,beta
468,human1_lib1.final_cell_0469,beta
469,human1_lib1.final_cell_0470,beta
470,human1_lib1.final_cell_0471,beta
471,human1_lib1.final_cell_0472,beta
472,human1_lib1.final_cell_0473,beta
473,human1_lib1.final_cell_0474,beta
474,human1_lib1.final_cell_0475,beta
475,human1_lib1.final_cell_0476,gamma
476,human1_lib1.final_cell_0477,ductal
477,human1_lib1.final_cell_0478,beta
478,human1_lib1.final_cell_0479,gamma
479,human1_lib1.final_cell_0480,beta
480,human1_lib1.final_cell_0481,delta
481,human1_lib1.final_cell_0482,beta
482,human1_lib1.final_cell_0483,beta
483,human1_lib1.final_cell_0484,gamma
484,human1_lib1.final_cell_0485,quiescent_stellate
485,human1_lib1.final_cell_0486,delta
486,human1_lib1.final_cell_0487,beta
487,human1_lib1.final_cell_0488,delta
488,human1_lib1.final_cell_0489,quiescent_stellate
489,human1_lib1.final_cell_0490,delta
490,human1_lib1.final_cell_0491,beta
491,human1_lib1.final_cell_0492,alpha
492,human1_lib1.final_cell_0493,delta
493,human1_lib1.final_cell_0494,alpha
494,human1_lib1.final_cell_0495,quiescent_stellate
495,human1_lib1.final_cell_0496,quiescent_stellate
496,human1_lib1.final_cell_0497,beta
497,human1_lib1.final_cell_0498,endothelial
498,human1_lib1.final_cell_0499,endothelial
499,human1_lib1.final_cell_0500,activated_stellate
500,human1_lib1.final_cell_0501,beta
501,human1_lib1.final_cell_0502,alpha
502,human1_lib1.final_cell_0503,delta
503,human1_lib1.final_cell_0504,beta
504,human1_lib1.final_cell_0505,endothelial
505,human1_lib1.final_cell_0506,alpha
506,human1_lib1.final_cell_0507,quiescent_stellate
507,human1_lib1.final_cell_0508,beta
508,human1_lib1.final_cell_0509,endothelial
509,human1_lib1.final_cell_0510,activated_stellate
510,human1_lib1.final_cell_0511,gamma
511,human1_lib1.final_cell_0512,beta
512,human1_lib1.final_cell_0513,quiescent_stellate
513,human1_lib1.final_cell_0514,beta
514,human1_lib1.final_cell_0515,endothelial
515,human1_lib1.final_cell_0516,gamma
516,human1_lib1.final_cell_0517,beta
517,human1_lib1.final_cell_0518,beta
518,human1_lib1.final_cell_0519,alpha
519,human1_lib1.final_cell_0520,endothelial
520,human1_lib1.final_cell_0521,gamma
521,human1_lib1.final_cell_0522,beta
522,human1_lib1.final_cell_0523,beta
523,human1_lib1.final_cell_0524,beta
524,human1_lib1.final_cell_0525,beta
525,human1_lib1.final_cell_0526,endothelial
526,human1_lib1.final_cell_0527,mast
527,human1_lib1.final_cell_0528,beta
528,human1_lib1.final_cell_0529,beta
529,human1_lib1.final_cell_0530,endothelial
530,human1_lib1.final_cell_0531,beta
531,human1_lib1.final_cell_0532,endothelial
532,human1_lib1.final_cell_0533,beta
533,human1_lib1.final_cell_0534,endothelial
534,human1_lib1.final_cell_0535,beta
535,human1_lib1.final_cell_0536,quiescent_stellate
536,human1_lib1.final_cell_0537,endothelial
537,human1_lib1.final_cell_0538,endothelial
538,human1_lib1.final_cell_0539,beta
539,human1_lib1.final_cell_0540,endothelial
540,human1_lib1.final_cell_0541,quiescent_stellate
541,human1_lib1.final_cell_0542,beta
542,human1_lib1.final_cell_0543,alpha
543,human1_lib1.final_cell_0544,ductal
544,human1_lib1.final_cell_0545,endothelial
545,human1_lib1.final_cell_0546,beta
546,human1_lib1.final_cell_0547,beta
547,human1_lib1.final_cell_0548,endothelial
548,human1_lib1.final_cell_0549,beta
549,human1_lib1.final_cell_0550,beta
550,human1_lib1.final_cell_0551,beta
551,human1_lib1.final_cell_0552,endothelial
552,human1_lib1.final_cell_0553,macrophage
553,human1_lib1.final_cell_0554,endothelial
554,human1_lib1.final_cell_0555,ductal
555,human1_lib1.final_cell_0556,beta
556,human1_lib1.final_cell_0557,ductal
557,human1_lib1.final_cell_0558,endothelial
558,human1_lib1.final_cell_0559,quiescent_stellate
559,human1_lib1.final_cell_0560,beta
560,human1_lib1.final_cell_0561,endothelial
561,human1_lib1.final_cell_0562,endothelial
562,human1_lib1.final_cell_0563,beta
563,human1_lib1.final_cell_0564,endothelial
564,human1_lib1.final_cell_0565,endothelial
565,human1_lib1.final_cell_0566,alpha
566,human1_lib1.final_cell_0567,ductal
567,human1_lib1.final_cell_0568,beta
568,human1_lib2.final_cell_0001,delta
569,human1_lib2.final_cell_0002,delta
570,human1_lib2.final_cell_0003,delta
571,human1_lib2.final_cell_0004,acinar
572,human1_lib2.final_cell_0005,acinar
573,human1_lib2.final_cell_0006,acinar
574,human1_lib2.final_cell_0007,acinar
575,human1_lib2.final_cell_0008,delta
576,human1_lib2.final_cell_0009,acinar
577,human1_lib2.final_cell_0010,ductal
578,human1_lib2.final_cell_0011,alpha
579,human1_lib2.final_cell_0012,delta
580,human1_lib2.final_cell_0013,delta
581,human1_lib2.final_cell_0014,delta
582,human1_lib2.final_cell_0015,delta
583,human1_lib2.final_cell_0016,acinar
584,human1_lib2.final_cell_0017,beta
585,human1_lib2.final_cell_0018,acinar
586,human1_lib2.final_cell_0019,endothelial
587,human1_lib2.final_cell_0020,delta
588,human1_lib2.final_cell_0021,beta
589,human1_lib2.final_cell_0022,delta
590,human1_lib2.final_cell_0023,alpha
591,human1_lib2.final_cell_0024,ductal
592,human1_lib2.final_cell_0025,delta
593,human1_lib2.final_cell_0026,delta
594,human1_lib2.final_cell_0027,beta
595,human1_lib2.final_cell_0028,delta
596,human1_lib2.final_cell_0029,beta
597,human1_lib2.final_cell_0030,beta
598,human1_lib2.final_cell_0031,delta
599,human1_lib2.final_cell_0032,gamma
600,human1_lib2.final_cell_0033,beta
601,human1_lib2.final_cell_0034,delta
602,human1_lib2.final_cell_0035,beta
603,human1_lib2.final_cell_0036,delta
604,human1_lib2.final_cell_0037,beta
605,human1_lib2.final_cell_0038,alpha
606,human1_lib2.final_cell_0039,beta
607,human1_lib2.final_cell_0040,delta
608,human1_lib2.final_cell_0041,delta
609,human1_lib2.final_cell_0042,beta
610,human1_lib2.final_cell_0043,delta
611,human1_lib2.final_cell_0044,delta
612,human1_lib2.final_cell_0045,ductal
613,human1_lib2.final_cell_0046,beta
614,human1_lib2.final_cell_0047,delta
615,human1_lib2.final_cell_0048,delta
616,human1_lib2.final_cell_0049,alpha
617,human1_lib2.final_cell_0050,beta
618,human1_lib2.final_cell_0051,alpha
619,human1_lib2.final_cell_0052,alpha
620,human1_lib2.final_cell_0053,beta
621,human1_lib2.final_cell_0054,acinar
622,human1_lib2.final_cell_0055,beta
623,human1_lib2.final_cell_0056,beta
624,human1_lib2.final_cell_0057,beta
625,human1_lib2.final_cell_0058,delta
626,human1_lib2.final_cell_0059,activated_stellate
627,human1_lib2.final_cell_0060,beta
628,human1_lib2.final_cell_0061,beta
629,human1_lib2.final_cell_0062,beta
630,human1_lib2.final_cell_0063,delta
631,human1_lib2.final_cell_0064,beta
632,human1_lib2.final_cell_0065,alpha
633,human1_lib2.final_cell_0066,ductal
634,human1_lib2.final_cell_0067,acinar
635,human1_lib2.final_cell_0068,delta
636,human1_lib2.final_cell_0069,beta
637,human1_lib2.final_cell_0070,beta
638,human1_lib2.final_cell_0071,beta
639,human1_lib2.final_cell_0072,acinar
640,human1_lib2.final_cell_0073,beta
641,human1_lib2.final_cell_0074,delta
642,human1_lib2.final_cell_0075,beta
643,human1_lib2.final_cell_0076,beta
644,human1_lib2.final_cell_0077,beta
645,human1_lib2.final_cell_0078,delta
646,human1_lib2.final_cell_0079,delta
647,human1_lib2.final_cell_0080,beta
648,human1_lib2.final_cell_0081,delta
649,human1_lib2.final_cell_0082,beta
650,human1_lib2.final_cell_0083,beta
651,human1_lib2.final_cell_0084,beta
652,human1_lib2.final_cell_0085,beta
653,human1_lib2.final_cell_0086,beta
654,human1_lib2.final_cell_0087,beta
655,human1_lib2.final_cell_0088,acinar
656,human1_lib2.final_cell_0089,beta
657,human1_lib2.final_cell_0090,beta
658,human1_lib2.final_cell_0091,beta
659,human1_lib2.final_cell_0092,alpha
660,human1_lib2.final_cell_0093,endothelial
661,human1_lib2.final_cell_0094,beta
662,human1_lib2.final_cell_0095,delta
663,human1_lib2.final_cell_0096,beta
664,human1_lib2.final_cell_0097,delta
665,human1_lib2.final_cell_0098,beta
666,human1_lib2.final_cell_0099,delta
667,human1_lib2.final_cell_0100,beta
668,human1_lib2.final_cell_0101,beta
669,human1_lib2.final_cell_0102,delta
670,human1_lib2.final_cell_0103,ductal
671,human1_lib2.final_cell_0104,beta
672,human1_lib2.final_cell_0105,beta
673,human1_lib2.final_cell_0106,ductal
