,Cell,Cell_type
78,F1S4_160108_011_B01,Sst Rxfp1 Prdm8
79,F1S4_160108_011_C01,Sst Nr2f2 Necab1
80,F1S4_160108_011_D01,Vip Arhgap36 Hmcn1
81,F1S4_160108_011_E01,Sst Nr2f2 Necab1
82,F1S4_160108_011_F01,Lamp5 Lsp1
83,F1S4_160108_011_G01,Pvalb Reln Tac1
84,F1S4_160108_011_H01,Sst Chrna2 Glra3
85,F1S4_160108_012_A01,Vip Ptprt Pkp2
86,F1S4_160108_012_B01,Sst Chodl
87,F1S4_160108_012_C01,Pvalb Calb1 Sst
88,F1S4_160108_012_E01,Sst Myh8 Etv1 
89,F1S4_160108_012_F01,Vip Igfbp4 Mab21l1
90,F1S4_160108_012_G01,Lamp5 Lsp1
91,F1S4_160108_012_H01,Sst Mme Fam114a1
92,F1S4_160108_013_A01,Vip Igfbp4 Mab21l1
93,F1S4_160108_013_B01,Sst Myh8 Fibin
94,F1S4_160108_013_C01,Sst Nr2f2 Necab1
95,F1S4_160108_013_D01,Pvalb Reln Tac1
96,F1S4_160108_013_E01,Lamp5 Lsp1
97,F1S4_160108_013_F01,Sst Chrna2 Glra3
98,F1S4_160108_013_G01,Lamp5 Lsp1
99,F1S4_160108_013_H01,Sncg Gpr50
100,F1S4_160108_014_A01,Pvalb Reln Tac1
101,F1S4_160108_014_C01,Sst Chrna2 Glra3
102,F1S4_160108_014_D01,Pvalb Gabrg1
103,F1S4_160108_014_E01,Sst Chrna2 Glra3
104,F1S4_160108_014_F01,Vip Arhgap36 Hmcn1
105,F1S4_160108_014_G01,Sst Chrna2 Ptgdr
106,F1S4_160108_014_H01,Pvalb Reln Tac1
107,F1S4_161209_001_A01,L6 CT VISp Krt80 Sla
108,F1S4_161209_001_B01,L6 CT VISp Nxph2 Wls
109,F1S4_161209_001_C01,L6 CT VISp Ctxn3 Sla
110,F1S4_161209_001_D01,L6 CT VISp Ctxn3 Sla
111,F1S4_161209_001_E01,L6 CT VISp Krt80 Sla
112,F1S4_161209_001_F01,L6 CT VISp Ctxn3 Sla
113,F1S4_161209_001_G01,L6 CT VISp Ctxn3 Sla
114,F1S4_161209_001_H01,L6 CT VISp Ctxn3 Sla
115,F1S4_161209_002_A01,L6 CT VISp Krt80 Sla
116,F1S4_161209_002_B01,L6 CT VISp Ctxn3 Sla
117,F1S4_161209_002_C01,L6 CT VISp Ctxn3 Sla
118,F1S4_161209_002_D01,L6 CT VISp Krt80 Sla
119,F1S4_161209_002_E01,L6 CT VISp Krt80 Sla
120,F1S4_161209_002_F01,L6 CT VISp Ctxn3 Sla
121,F1S4_161209_002_G01,L6 CT VISp Krt80 Sla
122,F1S4_161209_002_H01,L6 CT VISp Ctxn3 Sla
123,F1S4_161209_003_A01,L6 CT VISp Krt80 Sla
124,F1S4_161209_003_B01,L6 CT VISp Ctxn3 Brinp3
125,F1S4_161209_003_C01,L6 CT VISp Ctxn3 Sla
126,F1S4_161209_003_D01,L6 CT VISp Ctxn3 Sla
127,F1S4_161209_003_E01,L6 CT VISp Ctxn3 Sla
128,F1S4_161209_003_F01,L6 CT VISp Ctxn3 Sla
129,F1S4_161209_003_G01,L6 CT VISp Gpr139
130,F1S4_161209_003_H01,L6 CT VISp Ctxn3 Sla
131,F1S4_161209_004_A01,L6 CT VISp Ctxn3 Sla
132,F1S4_161209_004_B01,L6 CT VISp Krt80 Sla
133,F1S4_161209_004_C01,L6 CT VISp Ctxn3 Sla
134,F1S4_161209_004_D01,L6 CT VISp Ctxn3 Sla
135,F1S4_161209_004_E01,L6 CT VISp Ctxn3 Sla
136,F1S4_161209_004_F01,L6 CT VISp Krt80 Sla
137,F1S4_161209_004_G01,L6 CT VISp Krt80 Sla
138,F1S4_161209_004_H01,L6b VISp Col8a1 Rprm
139,F1S4_161209_005_A01,L6 CT VISp Ctxn3 Sla
140,F1S4_161209_005_B01,L6 CT VISp Ctxn3 Sla
141,F1S4_161209_005_C01,L6 CT VISp Ctxn3 Brinp3
142,F1S4_161209_005_D01,L6 CT VISp Ctxn3 Sla
143,F1S4_161209_005_E01,L6 CT VISp Krt80 Sla
144,F1S4_161209_005_F01,L6 CT VISp Ctxn3 Sla
145,F1S4_161209_005_H01,L6 CT VISp Ctxn3 Sla
146,F1S4_161209_006_A01,L6 CT VISp Krt80 Sla
147,F1S4_161209_006_B01,L6 CT VISp Ctxn3 Sla
148,F1S4_161209_006_C01,L6 CT VISp Ctxn3 Sla
149,F1S4_161209_006_D01,L6 CT VISp Krt80 Sla
150,F1S4_161209_006_E01,L6 CT VISp Krt80 Sla
151,F1S4_161209_006_F01,L6 CT VISp Gpr139
152,F1S4_161209_006_G01,L6 CT VISp Krt80 Sla
153,F1S4_161209_006_H01,L6 CT VISp Krt80 Sla
154,F1S4_161209_007_A01,L6 CT VISp Ctxn3 Sla
155,F1S4_161209_007_B01,L6 CT VISp Ctxn3 Sla
156,F1S4_161209_007_C01,L6 CT VISp Krt80 Sla
157,F1S4_161209_007_D01,L6 CT VISp Ctxn3 Brinp3
158,F1S4_161209_007_E01,L6 CT VISp Ctxn3 Brinp3
159,F1S4_161209_007_F01,L6 CT VISp Ctxn3 Brinp3
160,F1S4_161209_007_G01,L6 CT VISp Ctxn3 Sla
161,F1S4_161209_007_H01,L6 CT VISp Krt80 Sla
162,F1S4_161209_008_A01,L6 CT VISp Krt80 Sla
163,F1S4_161209_008_B01,L6 CT VISp Ctxn3 Sla
164,F1S4_161209_008_C01,L6 CT VISp Ctxn3 Brinp3
165,F1S4_161209_008_D01,L6 CT VISp Ctxn3 Sla
166,F1S4_161209_008_E01,L6 CT VISp Ctxn3 Sla
167,F1S4_161209_008_F01,L6 CT VISp Krt80 Sla
168,F1S4_161209_008_G01,L6 CT VISp Krt80 Sla
169,F1S4_161209_008_H01,L6 CT VISp Ctxn3 Sla
170,F1S4_161209_009_A01,L6 CT VISp Krt80 Sla
171,F1S4_161209_009_B01,L6 CT VISp Krt80 Sla
172,F1S4_161209_009_C01,L6 CT VISp Ctxn3 Sla
173,F1S4_161209_009_D01,L6 CT VISp Ctxn3 Sla
174,F1S4_161209_009_E01,L6 CT VISp Ctxn3 Sla
175,F1S4_161209_009_F01,L6 CT VISp Ctxn3 Sla
176,F1S4_161209_009_G01,L6 CT VISp Krt80 Sla
177,F1S4_161209_009_H01,L6 CT VISp Ctxn3 Brinp3
178,F1S4_161209_010_A01,L6 CT VISp Krt80 Sla
179,F1S4_161209_010_B01,L6 CT VISp Krt80 Sla
180,F1S4_161209_010_C01,L6b VISp Col8a1 Rxfp1
181,F1S4_161209_010_D01,L6 CT VISp Ctxn3 Sla
182,F1S4_161209_010_E01,L6 CT VISp Ctxn3 Sla
183,F1S4_161209_010_G01,L6 CT VISp Ctxn3 Sla
184,F1S4_161209_010_H01,L6 CT VISp Gpr139
185,F1S4_161209_011_A01,L6 CT VISp Krt80 Sla
186,F1S4_161209_011_B01,L6 CT VISp Ctxn3 Brinp3
187,F1S4_161209_011_C01,L6 CT VISp Gpr139
188,F1S4_161209_011_D01,L6 CT VISp Krt80 Sla
189,F1S4_161209_011_E01,L6 CT VISp Krt80 Sla
190,F1S4_161209_011_F01,L6 CT VISp Krt80 Sla
191,F1S4_161209_011_G01,L6 CT VISp Ctxn3 Brinp3
192,F1S4_161209_011_H01,L6 CT VISp Ctxn3 Sla
193,F1S4_161209_012_A01,L6 CT VISp Krt80 Sla
194,F1S4_161209_012_B01,L6 CT VISp Ctxn3 Sla
195,F1S4_161209_012_C01,L6 CT VISp Krt80 Sla
196,F1S4_161209_012_D01,L6 CT VISp Krt80 Sla
197,F1S4_161209_012_E01,L6 CT VISp Ctxn3 Brinp3
198,F1S4_161209_012_F01,L6 CT VISp Krt80 Sla
199,F1S4_161209_012_H01,L6 CT VISp Gpr139
200,F1S4_161209_013_E01,L6 CT VISp Ctxn3 Sla
201,F1S4_161209_013_F01,L6 CT VISp Ctxn3 Brinp3
202,F1S4_161209_013_G01,L6 CT VISp Ctxn3 Sla
203,F1S4_161209_013_H01,L6 CT VISp Krt80 Sla
204,F1S4_170426_005_A01,L6 IT VISp Penk Col27a1
205,F1S4_170426_005_B01,L6 IT VISp Col18a1
206,F1S4_170426_005_C01,L6 IT VISp Penk Fst
207,F1S4_170426_005_D01,L6 IT VISp Col23a1 Adamts2
208,F1S4_170426_005_E01,L6 IT VISp Penk Fst
209,F1S4_170426_005_F01,L6 IT VISp Penk Fst
210,F1S4_170426_005_G01,L6 IT VISp Penk Col27a1
211,F1S4_170426_005_H01,L6 IT VISp Col23a1 Adamts2
212,F1S4_170426_006_A01,L6 IT VISp Penk Fst
213,F1S4_170426_006_B01,L6 IT VISp Penk Fst
214,F1S4_170426_006_C01,L6 IT VISp Penk Col27a1
215,F1S4_170426_006_D01,L6 IT VISp Penk Col27a1
216,F1S4_170426_006_E01,Sst Crh 4930553C11Rik 
217,F1S4_170426_006_F01,L6 IT VISp Penk Fst
218,F1S4_170426_006_G01,L6 IT VISp Col23a1 Adamts2
219,F1S4_170426_006_H01,Sst Crhr2 Efemp1
220,F1S4_170426_009_A01,Sst Tac1 Tacr3
221,F1S4_170426_009_B01,Vip Crispld2 Kcne4
222,F1S4_170426_009_C01,Lamp5 Lsp1
223,F1S4_170426_009_D01,Vip Crispld2 Htr2c
224,F1S4_170426_009_E01,Sst Calb2 Pdlim5
225,F1S4_170426_009_F01,Vip Chat Htr1f
226,F1S4_170426_009_H01,L2/3 IT VISp Adamts2
227,F1S4_170426_010_A01,Lamp5 Fam19a1 Tmem182
228,F1S4_170426_010_B01,Vip Crispld2 Kcne4
229,F1S4_170426_010_C01,L2/3 IT VISp Rrad
230,F1S4_170426_010_D01,Sst Tac1 Tacr3
231,F1S4_170426_010_E01,Vip Pygm C1ql1
232,F1S4_170426_010_F01,Lamp5 Lsp1
233,F1S4_170426_010_G01,L2/3 IT VISp Rrad
234,F1S4_170426_010_H01,Lamp5 Lsp1
235,F1S4_170426_011_A01,Vip Chat Htr1f
236,F1S4_170426_011_B01,L2/3 IT VISp Agmat
237,F1S4_170426_011_C01,Lamp5 Lsp1
238,F1S4_170426_011_D01,Vip Chat Htr1f
239,F1S4_170426_011_E01,Vip Lect1 Oxtr
240,F1S4_170426_011_F01,Lamp5 Lsp1
241,F1S4_170426_011_H01,Lamp5 Plch2 Dock5
242,F1S4_170426_012_A01,Vip Igfbp4 Mab21l1
243,F1S4_170426_012_B01,Pvalb Tpbg
244,F1S4_170426_012_C01,Sst Tac1 Htr1d
245,F1S4_170426_012_D01,Vip Crispld2 Kcne4
246,F1S4_170426_012_F01,Lamp5 Lsp1
247,F1S4_170426_012_G01,L2/3 IT VISp Agmat
248,F1S4_170426_013_A01,Vip Crispld2 Htr2c
249,F1S4_170426_013_C01,L2/3 IT VISp Agmat
250,F1S4_170426_013_D01,Pvalb Tpbg
251,F1S4_170426_013_E01,Vip Lect1 Oxtr
252,F1S4_170426_013_F01,Pvalb Tpbg
253,F1S4_170426_013_G01,Vip Crispld2 Kcne4
254,F1S4_170426_013_H01,Vip Crispld2 Htr2c
255,F1S4_170426_014_A01,L2/3 IT VISp Adamts2
256,F1S4_170426_014_D01,L2/3 IT VISp Rrad
257,F1S4_170426_014_E01,Vip Crispld2 Kcne4
258,F1S4_170426_014_G01,Lamp5 Lsp1
259,F1S4_170426_014_H01,Sst Calb2 Pdlim5
260,F1S4_170426_015_A01,L2/3 IT VISp Agmat
261,F1S4_170426_015_B01,Vip Lect1 Oxtr
262,F1S4_170426_015_C01,Pvalb Tpbg
263,F1S4_170426_015_D01,Vip Pygm C1ql1
264,F1S4_170426_015_F01,L2/3 IT VISp Agmat
265,F1S4_170426_015_G01,Lamp5 Ntn1 Npy2r
266,F1S4_170426_015_H01,Vip Lect1 Oxtr
267,F1S4_170426_016_A01,Lamp5 Lsp1
268,F1S4_170426_016_B01,Pvalb Tpbg
269,F1S4_170426_016_C01,Lamp5 Ntn1 Npy2r
270,F1S4_170426_016_D01,Pvalb Tpbg
271,F1S4_170426_016_E01,Pvalb Tpbg
272,F1S4_170426_016_F01,L2/3 IT VISp Rrad
273,F1S4_170426_016_G01,Vip Crispld2 Htr2c
274,F1S4_170426_016_H01,L2/3 IT VISp Agmat
275,F1S4_170426_017_A01,Pvalb Tpbg
276,F1S4_170426_017_B01,Vip Pygm C1ql1
277,F1S4_170426_017_C01,Lamp5 Lsp1
278,F1S4_170426_017_D01,L2/3 IT VISp Rrad
279,F1S4_170426_017_E01,L2/3 IT VISp Rrad
280,F1S4_170426_017_G01,Pvalb Tpbg
281,F1S4_170426_022_A01,Sst Rxfp1 Eya1
282,F1S4_170426_022_B01,L6 IT VISp Penk Col27a1
283,F1S4_170426_022_C01,L6 IT VISp Col23a1 Adamts2
284,F1S4_170426_022_E01,L6 IT VISp Penk Col27a1
285,F1S4_170426_022_F01,L6 IT VISp Penk Fst
286,F1S4_170426_022_G01,L6 IT VISp Penk Col27a1
287,F1S4_170426_022_H01,L6 IT VISp Penk Fst
288,F1S4_170426_023_A01,L6 IT VISp Penk Col27a1
289,F1S4_170426_023_B01,L6 IT VISp Penk Fst
290,F1S4_170426_023_C01,L6 IT VISp Col23a1 Adamts2
291,F1S4_170426_023_D01,L6 IT VISp Penk Col27a1
292,F1S4_170426_023_E01,L6 IT VISp Penk Fst
293,F1S4_170426_023_F01,L6 IT VISp Col23a1 Adamts2
294,F1S4_170426_023_G01,L6 IT VISp Col23a1 Adamts2
295,F1S4_170426_024_A01,L6 IT VISp Penk Col27a1
296,F1S4_170426_024_C01,L6 IT VISp Col23a1 Adamts2
297,F1S4_170426_024_D01,L6 IT VISp Col23a1 Adamts2
298,F1S4_170426_024_E01,L6 IT VISp Penk Fst
299,F1S4_170426_024_F01,L6 IT VISp Penk Col27a1
300,F1S4_170426_024_G01,L6 IT VISp Penk Col27a1
301,F1S4_170426_024_H01,L6 IT VISp Penk Col27a1
302,F1S4_170428_001_A01,L6 IT VISp Penk Col27a1
303,F1S4_180108_301_A01,Lamp5 Lsp1
304,F1S4_180108_301_B01,Lamp5 Lhx6
305,F1S4_180108_301_C01,Lamp5 Lhx6
306,F1S4_180108_301_D01,Sst Chodl
307,F1S4_180108_301_E01,Lamp5 Ntn1 Npy2r
308,F1S4_180108_301_F01,Sst Chodl
309,F1S4_180108_301_H01,Lamp5 Lhx6
310,F1S4_180108_302_B01,Lamp5 Lsp1
311,F1S4_180108_302_C01,Sst Tac1 Htr1d
312,F1S4_180108_302_D01,Lamp5 Lsp1
313,F1S4_180108_302_E01,Lamp5 Lsp1
314,F1S4_180108_302_F01,Vip Igfbp6 Pltp
315,F1S4_180108_302_H01,Sst Tac1 Tacr3
316,F1S4_180108_303_D01,Lamp5 Lhx6
317,F1S4_180108_303_F01,Sst Chodl
318,F1S4_180108_303_G01,Pvalb Tpbg
319,F1S4_180108_303_H01,Sst Chodl
320,F1S4_180108_304_C01,Lamp5 Lsp1
321,F1S4_180108_304_D01,Sst Tac1 Htr1d
322,F1S4_180108_304_E01,Lamp5 Lsp1
323,F1S4_180108_304_F01,Sst Tac1 Htr1d
324,F1S4_180108_304_G01,Vip Ptprt Pkp2
325,F1S4_180108_304_H01,Lamp5 Lhx6
326,F1S4_180124_301_B01,Lamp5 Lsp1
327,F1S4_180124_301_C01,L2/3 IT VISp Rrad
328,F1S4_180124_301_D01,L2/3 IT VISp Agmat
329,F1S4_180124_301_E01,Lamp5 Lsp1
330,F1S4_180124_301_G01,L2/3 IT VISp Agmat
331,F1S4_180124_302_A01,L2/3 IT VISp Rrad
332,F1S4_180124_302_B01,Lamp5 Lsp1
333,F1S4_180124_302_C01,Sst Hpse Cbln4
334,F1S4_180124_302_D01,L2/3 IT VISp Agmat
335,F1S4_180124_302_F01,Lamp5 Lsp1
336,F1S4_180124_302_G01,L2/3 IT VISp Agmat
337,F1S4_180124_302_H01,L2/3 IT VISp Rrad
338,F1S4_180124_303_A01,L2/3 IT VISp Agmat
339,F1S4_180124_303_B01,Lamp5 Plch2 Dock5
340,F1S4_180124_303_D01,Lamp5 Krt73
341,F1S4_180124_303_E01,L2/3 IT VISp Agmat
342,F1S4_180124_303_F01,L2/3 IT VISp Agmat
343,F1S4_180124_303_G01,Lamp5 Lsp1
344,F1S4_180124_303_H01,Lamp5 Fam19a1 Pax6
345,F1S4_180124_307_A01,Lamp5 Fam19a1 Pax6
346,F1S4_180124_307_B01,Lamp5 Lsp1
347,F1S4_180124_307_C01,L2/3 IT VISp Rrad
348,F1S4_180124_307_D01,Lamp5 Krt73
349,F1S4_180124_307_E01,L2/3 IT VISp Agmat
350,F1S4_180124_307_F01,L2/3 IT VISp Agmat
351,F1S4_180124_307_G01,Sncg Slc17a8
352,F1S4_180124_307_H01,Sncg Vip Itih5
353,F1S4_180124_308_A01,Lamp5 Lsp1
354,F1S4_180124_308_B01,Vip Lmo1 Fam159b
355,F1S4_180124_308_C01,Sncg Slc17a8
356,F1S4_180124_308_E01,Sncg Gpr50
357,F1S4_180124_308_F01,Sncg Vip Itih5
358,F1S4_180124_308_H01,L6 IT VISp Penk Col27a1
359,F1S4_180124_309_A01,Lamp5 Lsp1
360,F1S4_180124_309_B01,Sncg Slc17a8
361,F1S4_180124_309_C01,Sst Crhr2 Efemp1
362,F1S4_180124_309_D01,Sncg Slc17a8
363,F1S4_180124_309_F01,Lamp5 Lsp1
364,F1S4_180124_309_G01,Lamp5 Lhx6
365,F1S4_180124_309_H01,Sncg Slc17a8
366,F1S4_180124_310_A01,Lamp5 Lsp1
367,F1S4_180124_310_B01,Pvalb Calb1 Sst
368,F1S4_180124_310_C01,Lamp5 Lsp1
369,F1S4_180124_310_D01,Lamp5 Lsp1
370,F1S4_180124_310_G01,Lamp5 Lsp1
371,F1S4_180124_310_H01,L2/3 IT VISp Agmat
372,F1S4_180124_311_A01,L2/3 IT VISp Agmat
373,F1S4_180124_311_B01,L2/3 IT VISp Agmat
374,F1S4_180124_311_C01,L2/3 IT VISp Rrad
375,F1S4_180124_311_D01,L2/3 IT VISp Agmat
376,F1S4_180124_311_E01,L2/3 IT VISp Agmat
377,F1S4_180124_311_F01,L2/3 IT VISp Agmat
378,F1S4_180124_311_G01,L2/3 IT VISp Agmat
379,F1S4_180124_311_H01,Lamp5 Lsp1
380,F1S4_180124_312_A01,L2/3 IT VISp Agmat
381,F1S4_180124_312_B01,L2/3 IT VISp Agmat
382,F1S4_180124_312_E01,L2/3 IT VISp Rrad
383,F1S4_180124_312_F01,Lamp5 Lsp1
384,F1S4_180124_312_H01,L2/3 IT VISp Agmat
385,F1S4_180124_313_A01,L2/3 IT VISp Agmat
386,F1S4_180124_313_B01,L2/3 IT VISp Agmat
387,F1S4_180124_313_C01,Lamp5 Lsp1
388,F1S4_180124_313_E01,L2/3 IT VISp Agmat
389,F1S4_180124_313_F01,Sncg Slc17a8
390,F1S4_180124_313_G01,Lamp5 Lsp1
391,F1S4_180124_313_H01,L2/3 IT VISp Agmat
392,F1S4_180124_314_B01,Lamp5 Lsp1
393,F1S4_180124_314_C01,L2/3 IT VISp Agmat
394,F1S4_180124_314_D01,L2/3 IT VISp Adamts2
395,F1S4_180124_314_E01,L2/3 IT VISp Agmat
396,F1S4_180124_314_F01,L2/3 IT VISp Agmat
397,F1S4_180124_314_G01,L2/3 IT VISp Agmat
398,F1S4_180129_301_A01,Pvalb Reln Tac1
399,F1S4_180129_301_B01,Pvalb Gpr149 Islr
400,F1S4_180129_301_C01,Pvalb Gpr149 Islr
401,F1S4_180129_301_D01,Pvalb Gpr149 Islr
402,F1S4_180129_301_G01,Pvalb Gpr149 Islr
403,F1S4_180129_301_H01,Sst Mme Fam114a1
404,F1S4_180129_302_A01,Pvalb Reln Tac1
405,F1S4_180129_302_B01,L5 PT VISp Krt80
406,F1S4_180129_302_C01,Pvalb Gpr149 Islr
407,F1S4_180129_302_D01,Pvalb Reln Tac1
408,F1S4_180129_302_E01,Pvalb Reln Tac1
409,F1S4_180129_302_F01,Pvalb Gpr149 Islr
410,F1S4_180129_302_G01,Sst Hpse Sema3c
411,F1S4_180129_302_H01,Pvalb Gabrg1
412,F1S4_180129_303_A01,Pvalb Reln Tac1
413,F1S4_180129_303_B01,Pvalb Reln Tac1
414,F1S4_180129_303_C01,Pvalb Reln Tac1
415,F1S4_180129_303_E01,Pvalb Reln Tac1
416,F1S4_180129_303_F01,Pvalb Gpr149 Islr
417,F1S4_180129_303_H01,Sst Tac2 Tacstd2
418,F1S4_180129_304_B01,Pvalb Th Sst
419,F1S4_180129_304_D01,Sst Tac2 Tacstd2
420,F1S4_180129_304_H01,Sst Crhr2 Efemp1
421,F1S4_180129_305_D01,Pvalb Akr1c18 Ntf3
422,F1S4_180129_305_H01,Pvalb Akr1c18 Ntf3
423,F1S4_180129_306_A01,Pvalb Akr1c18 Ntf3
424,F1S4_180129_306_E01,Sst Rxfp1 Eya1
425,F1S4_180129_307_D01,Sst Rxfp1 Prdm8
426,F1S4_180129_307_G01,Sst Rxfp1 Prdm8
427,F1S4_180129_308_C01,Sst Rxfp1 Prdm8
428,F1S4_180129_308_D01,Pvalb Calb1 Sst
429,F1S4_180129_308_E01,Pvalb Th Sst
430,F1S4_180129_308_H01,Sst Crh 4930553C11Rik 
431,F1S4_180129_309_A01,Pvalb Gpr149 Islr
432,F1S4_180129_309_E01,Sst Mme Fam114a1
433,F1S4_180129_310_A01,Pvalb Reln Tac1
434,F1S4_180129_310_F01,Sst Rxfp1 Prdm8
435,F1S4_180129_310_H01,Sst Mme Fam114a1
436,F1S4_180129_311_A01,Pvalb Reln Tac1
437,F1S4_180129_311_D01,Sst Tac2 Tacstd2
438,F1S4_180129_311_E01,Pvalb Calb1 Sst
439,F1S4_180129_312_E01,Sst Rxfp1 Prdm8
440,F1S4_180129_313_B01,Pvalb Th Sst
441,F1S4_180129_313_H01,Sst Rxfp1 Prdm8
442,F1S4_180129_314_A01,Pvalb Akr1c18 Ntf3
443,F1S4_180129_315_A01,Sst Rxfp1 Eya1
444,F1S4_180129_315_D01,Pvalb Reln Tac1
445,F1S4_180129_315_F01,Sst Rxfp1 Prdm8
446,F1S4_180129_315_H01,Sst Crh 4930553C11Rik 
447,F1S4_180129_316_B01,Sst Esm1
448,F1S4_180129_316_E01,Pvalb Sema3e Kank4
449,F1S4_180129_316_G01,Pvalb Akr1c18 Ntf3
450,F1S4_180130_309_A01,Pvalb Tpbg
451,F1S4_180130_309_C01,Vip Pygm C1ql1
452,F1S4_180130_310_C01,Lamp5 Plch2 Dock5
453,F1S4_180130_310_F01,Pvalb Reln Itm2a
454,F1S4_180130_311_A01,Pvalb Tpbg
455,F1S4_180130_311_B01,Sst Calb2 Pdlim5
456,F1S4_180130_311_E01,Lamp5 Plch2 Dock5
457,F1S4_180130_330_C01,Lamp5 Lsp1
458,F1S4_180130_331_A01,Lamp5 Lsp1
459,F1S4_180130_331_D01,Pvalb Tpbg
460,F1S4_180130_332_E01,Sst Chodl
461,F1S4_180130_332_G01,Lamp5 Plch2 Dock5
462,F1S4_180130_333_H01,L6 CT VISp Ctxn3 Brinp3
463,F1S4_180130_334_E01,L6 IT VISp Penk Fst
464,F1S4_180130_335_E01,L6 IT VISp Penk Fst
465,F1S4_180130_354_A01,Lamp5 Lsp1
